Sample number,depth?cm?,Age (yr BP),Age (kyr BP),sand,Silt,clay,"
Average particle size
Mz",Mean grain size (um),Median particle sizeMd???,Median (um),"

Skewness value
Skf???",kurtosisKg???,"

Separation coefficient
?i???",Sediment types
1#,2 ,,,1.485 ,68.608 ,29.907 ,7.111 ,7.235 ,6.987 ,7.881 ,-0.139 ,0.994 ,1.734 ,clay silt
2#,4 ,,,2.337 ,68.739 ,28.924 ,7.082 ,7.380 ,6.967 ,7.992 ,-0.127 ,1.033 ,1.727 ,clay silt
3#,6 ,2025.9 ,2 ,7.673 ,63.454 ,28.873 ,6.951 ,8.083 ,6.884 ,8.465 ,0.081 ,1.426 ,2.270 ,clay silt
4#,8 ,2251.7 ,2 ,1.869 ,67.169 ,30.962 ,7.180 ,6.896 ,7.054 ,7.524 ,-0.132 ,1.015 ,1.747 ,clay silt
5#,10 ,2477.5 ,2 ,2.646 ,68.568 ,28.786 ,7.064 ,7.471 ,6.950 ,8.089 ,-0.125 ,1.031 ,1.732 ,clay silt
6#,12 ,2703.3 ,3 ,4.067 ,67.655 ,28.278 ,7.008 ,7.770 ,6.926 ,8.225 ,-0.084 ,1.062 ,1.788 ,clay silt
7#,14 ,2929.1 ,3 ,2.925 ,68.384 ,28.691 ,7.025 ,7.680 ,6.928 ,8.213 ,-0.106 ,1.027 ,1.778 ,clay silt
8#,16 ,3154.9 ,3 ,3.389 ,72.312 ,24.299 ,6.721 ,9.481 ,6.568 ,10.541 ,-0.168 ,0.991 ,1.821 ,clay silt
33#,66 ,8800.1 ,9 ,2.681 ,68.304 ,29.015 ,7.013 ,7.740 ,6.941 ,8.136 ,-0.096 ,1.003 ,1.803 ,clay silt
34#,68 ,9049.8 ,9 ,1.896 ,67.578 ,30.526 ,7.140 ,7.090 ,7.110 ,7.237 ,-0.060 ,1.030 ,1.697 ,clay silt
35#,70 ,9323.4 ,9 ,3.798 ,59.572 ,36.631 ,7.418 ,5.847 ,7.403 ,5.908 ,-0.004 ,1.110 ,1.778 ,clay silt
36#,72 ,9597.1 ,10 ,3.826 ,58.971 ,37.203 ,7.391 ,5.956 ,7.393 ,5.950 ,0.004 ,1.063 ,1.866 ,clay silt
37#,74 ,9870.7 ,10 ,1.995 ,62.441 ,35.565 ,7.357 ,6.100 ,7.344 ,6.154 ,-0.031 ,1.043 ,1.748 ,clay silt
38#,76 ,10144.3 ,10 ,10.023 ,62.269 ,27.708 ,6.667 ,9.843 ,6.772 ,9.151 ,0.024 ,0.927 ,2.089 ,clay silt
39#,78 ,10417.9 ,10 ,29.881 ,50.867 ,19.253 ,5.621 ,20.321 ,5.206 ,27.096 ,-0.281 ,0.813 ,2.328 ,"

sandy silt
"
40#,80 ,10691.6 ,11 ,40.924 ,41.400 ,17.677 ,5.129 ,28.569 ,4.680 ,39.010 ,-0.249 ,0.848 ,2.684 ,"

sandy silt
"
41#,82 ,10965.2 ,11 ,5.245 ,62.951 ,31.804 ,7.064 ,7.475 ,7.065 ,7.468 ,-0.016 ,1.016 ,1.930 ,clay silt
42#,84 ,11238.8 ,11 ,3.652 ,66.280 ,30.068 ,7.011 ,7.754 ,6.978 ,7.931 ,-0.057 ,0.990 ,1.835 ,clay silt
43#,86 ,11512.4 ,12 ,6.562 ,63.624 ,29.814 ,6.928 ,8.215 ,6.949 ,8.093 ,0.000 ,1.020 ,1.957 ,clay silt
44#,88 ,11786.1 ,12 ,1.284 ,66.550 ,32.166 ,7.153 ,7.025 ,7.088 ,7.348 ,-0.094 ,0.953 ,1.766 ,clay silt
45#,90 ,12059.7 ,12 ,2.366 ,67.042 ,30.592 ,7.091 ,7.333 ,7.063 ,7.479 ,-0.058 ,1.003 ,1.753 ,clay silt
46#,92 ,12333.3 ,12 ,4.503 ,69.692 ,25.805 ,6.849 ,8.672 ,6.906 ,8.337 ,0.016 ,1.028 ,1.724 ,clay silt
47#,94 ,12606.9 ,13 ,2.679 ,65.764 ,31.557 ,7.144 ,7.069 ,7.108 ,7.249 ,-0.060 ,1.009 ,1.759 ,clay silt
48#,96 ,12880.6 ,13 ,3.581 ,63.620 ,32.800 ,7.198 ,6.812 ,7.183 ,6.882 ,-0.029 ,1.046 ,1.801 ,clay silt
49#,98 ,13154.2 ,13 ,3.777 ,64.912 ,31.311 ,7.111 ,7.236 ,7.121 ,7.184 ,-0.014 ,1.042 ,1.795 ,clay silt
50#,100 ,13427.8 ,13 ,2.911 ,63.971 ,33.118 ,7.225 ,6.687 ,7.226 ,6.678 ,-0.022 ,1.047 ,1.767 ,clay silt
51#,102 ,13701.4 ,14 ,0.504 ,60.962 ,38.533 ,7.550 ,5.338 ,7.556 ,5.312 ,-0.014 ,1.117 ,1.560 ,clay silt
52#,104 ,13975.1 ,14 ,1.848 ,63.608 ,34.544 ,7.363 ,6.073 ,7.354 ,6.112 ,-0.025 ,1.100 ,1.658 ,clay silt
53#,106 ,14248.7 ,14 ,1.693 ,64.340 ,33.967 ,7.355 ,6.107 ,7.354 ,6.114 ,-0.021 ,1.113 ,1.615 ,clay silt
54#,108 ,14522.3 ,15 ,2.745 ,62.260 ,34.995 ,7.357 ,6.101 ,7.353 ,6.118 ,-0.012 ,1.106 ,1.735 ,clay silt
55#,110 ,14795.9 ,15 ,2.465 ,63.002 ,34.533 ,7.385 ,5.984 ,7.371 ,6.040 ,-0.020 ,1.133 ,1.637 ,clay silt
56#,112 ,15069.6 ,15 ,1.810 ,62.987 ,35.203 ,7.410 ,5.882 ,7.401 ,5.917 ,-0.023 ,1.117 ,1.625 ,clay silt
57#,114 ,15343.2 ,15 ,2.567 ,63.187 ,34.246 ,7.354 ,6.111 ,7.357 ,6.101 ,-0.008 ,1.125 ,1.647 ,clay silt
58#,116 ,15768.5 ,16 ,2.232 ,62.097 ,35.671 ,7.434 ,5.784 ,7.420 ,5.839 ,-0.024 ,1.122 ,1.625 ,clay silt
59#,118 ,16345.4 ,16 ,2.598 ,62.539 ,34.864 ,7.393 ,5.950 ,7.386 ,5.978 ,-0.013 ,1.135 ,1.643 ,clay silt
60#,120 ,16922.3 ,17 ,1.882 ,64.463 ,33.655 ,7.327 ,6.228 ,7.314 ,6.284 ,-0.032 ,1.089 ,1.652 ,clay silt
61#,122 ,17499.2 ,17 ,1.614 ,66.339 ,32.047 ,7.197 ,6.815 ,7.155 ,7.017 ,-0.071 ,1.012 ,1.752 ,clay silt
62#,124 ,18076.1 ,18 ,2.317 ,70.588 ,27.095 ,6.906 ,8.339 ,6.811 ,8.907 ,-0.123 ,0.982 ,1.780 ,clay silt
63#,126 ,18653.0 ,19 ,14.880 ,60.668 ,24.452 ,6.404 ,11.806 ,6.562 ,10.585 ,0.053 ,0.935 ,2.176 ,clay silt
64#,128 ,19230.0 ,19 ,4.925 ,68.591 ,26.484 ,6.891 ,8.424 ,6.817 ,8.868 ,-0.082 ,1.068 ,1.833 ,clay silt
65#,130 ,19806.9 ,20 ,6.749 ,67.744 ,25.507 ,6.746 ,9.315 ,6.637 ,10.048 ,-0.090 ,1.062 ,1.951 ,clay silt
